SMILES,luciferase_artifact,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,False,,5.560036064079095,4.560029756289291,5.910024277312271
CC1=NC=C(C(=C1O)CO)CO,False,,,4.145992904260828,
COP(=O)(OC)OC,False,4.419614522769891,4.14533391639455,,4.79533477730842
CC(=CCl)C,False,,,5.09357875444673,
C[N+]1=CN(C=C1)CC2=CC=CC=C2.[Cl-],False,,,4.500284056998402,
C(=C(I)I)(I)I,False,4.948862919408721,5.4488672992713925,,
C1=CC(=C(C(=C1)O)O)O,False,4.402419983183693,4.402419983183693,4.5024193982971905,
CC(=O)C(=O)O,False,4.198864633756791,,4.693227675763949,
CC(=O)C1CCOC1=O,False,4.3807605371646385,,,
COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,False,4.304447468503695,5.604445332252318,4.248864914695038,6.329439842932943
CCCCN(CCCC)C(C1=CC=C(C=C1)OC)C(=O)N,False,,4.460029874171644,5.96003097313254,4.860029658404407
C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,False,,4.760030197409634,4.460029874171644,
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,False,4.403848422089826,4.462598346649255,4.997046009226923,4.537598300125877
C1=CC2=C(C(=C1)N)C(=O)NNC2=O,False,4.396390174579963,,5.296390542434231,
CC(=C)C(=O)NCCC[N+](C)(C)C.[Cl-],False,4.3988649544426,,,
C1CC(C2=CC=CC=C2C1)C3=NCCN3.Cl,False,,,5.660032085297399,
CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,False,4.395333393952827,4.395333393952827,6.145329668104664,
CC(C)CCOCC(=O)OCC=C,False,,,4.156358666385592,
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,True,6.399953749098745,4.873686468506859,4.301350623317788,
C1[C@@H]([C@H](C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O,False,4.968688505341344,4.968688505341344,,5.018688894472718
CC1=C(C(=CC=C1)C)C,False,4.198864633756791,,,
CC1=C(C(=CC=C1)O)C,False,4.418991258785288,,,
C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,False,4.399573853919421,4.4495735070633335,,
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)N,False,6.198870812420296,,,4.698865786166042
CC1=CC(=C(C(=C1)C)O)C,False,4.498687846443764,4.423687960258942,,
CC1=CC=CC=C1C(=O)N,False,4.1992190191615695,,4.1492190257964925,
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],False,4.393257274591514,4.31742084614685,4.264675339621783,
C1=CC(=C(C=C1C(=O)O)C(=O)O)C(=O)O,False,,,4.448864857638396,
CC(C)C(C(C)(C)COC(=O)C1=CC=CC=C1)OC(=O)C2=CC=CC=C2,False,4.448864857638396,5.698861444284984,,
C1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2)C(=O)O)O,True,,,4.810029897405945,4.610029886099158
COC(C1=CC=CC=C1)C(=O)O,False,,,4.3988649544426,
C1CC2=CC=CC=C2C(=O)C1,False,4.443927977729064,,4.393928341359247,
CCC1COC(=O)O1,False,4.3988649544426,,,
CCCCC(CC)COC(=O)C1=CC=C(C=C1)O,False,4.474574457318399,4.474574457318399,4.349574317224821,4.150283991273487
C1=CC(=CC=C1C2=CC=C(C=C2)N)N.Cl.Cl,True,4.801945295752486,4.951946826884391,4.801945295752486,5.101944323171563
C1=CC=C(C=C1)C(=O)CCl,False,4.392876453858493,4.4428767348995235,4.495871253103925,
C1=CC=C(C=C1)C(C#N)O,False,4.199573693981921,,4.199573693981921,
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[N+](=O)([O-])[O-],False,,,4.198864633756791,
CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,True,4.460029874171644,4.510030276850633,4.560029756289291,
CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1.Cl,False,,,4.860029658404407,
C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N.Cl,True,5.208162038582027,4.50815804597911,5.45815876083943,4.908157250261902
COC(=O)[C@]12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,False,,5.463302706391815,4.853957280545968,5.6133048882243815
CCOC(=O)COC1=C(C=C(C=C1)Cl)Cl,True,4.498865393540615,4.198864633756791,,
CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,False,4.760030197409634,,,
CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,False,,,,5.26003230324049
CN1CN(C(=S)SC1)C,False,4.44992826586856,4.775461250296944,,
CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl.Cl,False,4.710115579840174,4.68511580876684,4.68511580876684,
CC(C)(C)OC(=O)C1=C2[C@@H]3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,False,,5.110031956768376,,4.810029897405945
C(C(=O)CCl)Cl,False,4.198864633756791,,,
