Smiles,PPB
HC12N3CCC11C4=C(C=C(OC)C(=C4)C4(CC5(H)CN(CC(O)(CC)C5)CCC5=C4NC4=C5C=CC=C4)C(=O)OC)N(C=O)C1(H)C(O)(C(OC(C)=O)C2(CC)C=CC3)C(=O)OC,75.0000000
CN(C)CCOC1=CC=C(C=C1)C(\C1=CC=CC=C1)=C(\CCCl)C1=CC=CC=C1,94.0000000
COCCOC1=C(OCCOC)C=C2C(NC3=CC(=CC=C3)C#C)=NC=NC2=C1,93.0000000
CN(C)CCCN1C2=C(SC3=C1C=C(C=C3)C(F)(F)F)C=CC=C2,95.0000000
CC(=O)OC1=C(C=CC=C1)C(=O)NC1=NC=C(S1)[N+]([O-])=O,99.0000000
C\N=C(\NCCSCC1=C(C)NC=N1)NC#N,17.5000000
CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,95.0000000
NC(=O)C(C1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,98.0000000
CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,34.0000000
CCN(CC)C(=O)C(\C#N)=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,98.0000000
OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O,55.0000000
NC1=NC(=O)C2=C(N1)N(C=N2)C1CC(O)C(CO)C1=C,13.0000000
HC12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)C2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O,10.0000000
CN1CCC(CC1)=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,97.5000000
CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,95.0000000
HC12CCC3(CCC(=O)O3)C1(C)CCC1(H)C2(H)C(H)(CC2=CC(=O)CCC12C)SC(C)=O,90.0000000
HC12CC(C)C(O)(C(=O)CO)C1(C)CC(O)C1(Cl)C2(H)CCC2=CC(=O)C=CC12C,87.0000000
CCCCC(=O)OCC(=O)C1(O)CC(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C2=C(C1)C(O)=C1C(=O)C3=C(C(=O)C1=C2O)C(OC)=CC=C3,99.0000000
HC12CC(O)C(CCC(O)CCCCC)C1(H)CC1=C(C2)C(OCC(O)=O)=CC=C1,91.0000000
ClC1=CC2=C(OC(=O)N2)C=C1,15.5000000
NC1=NC(=CC(N)=[N+]1[O-])N1CCCCC1,0.5000000
HC12OC(O)(C(C)CC1OC)C(=O)C(=O)N1CCCCC1(H)C(=O)OC(C(C)C(O)CC(=O)C(CC)\C=C(C)/CC(C)CC2OC)C(\C)=C\C1CCC(Cl)C(C1)OC,80.5000000
CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,99.5000000
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,89.0000000
HC12N3CCC11C4=C(C=C(OC)C(=C4)C4(CC5(H)CN(CC(O)(CC)C5)CCC5=C4NC4=C5C=CC=C4)C(=O)OC)N(C)C1(H)C(O)(C(O)C2(CC)C=CC3)C(N)=O,70.0000000
CC(CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O,0.7000000
[Na+].HC12CCC(=O)C1(C)CCC1(H)C3=CC=C(OS([O-])(=O)=O)C=C3CCC21H,90.0000000
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NNN=N1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O,99.0000000
COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,65.0000000
HC12SCC(CSC3=NN=NN3C)=C(N1C(=O)C2NC(=O)C(=N\OC)\C1=CSC(N)=N1)C(O)=O,60.0000000
HC12CCC(H)(CC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,95.0000000
HC12C(CC(C)C=C1C=CC(C)C2CCC1CC(O)CC(=O)O1)OC(=O)C(C)CC,95.0000000
NC(N)=NCC1COC2(CCCCC2)O1,20.0000000
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,93.0000000
CN1CCCC1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,85.0000000
OC(C(=O)OC1CC2CCC(C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,67.5000000
O.NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,31.0000000
CCC(O)(\C=C\Cl)C#C,42.5000000
HC1(CCC2(H)C(CCCC12C)=CC=C1CC(O)CCC1=C)C(C)CCCC(C)C,65.0000000
HC1(CCC2(H)C1(C)CCC\C2=C/C=C1/CC(O)CCC1=C)C(C)\C=C\C(C)C(C)C,99.5000000
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,92.0000000
C1CC(CCNC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,97.0000000
C123OOC4(OC1OC(O)C(C2CCC(C3CC4)C)C)C,62.5000000
C23(CCC(=O)C4OC1=C5C(=CC=C1OC)CC2N(CCC345)C)O,45.0000000
O=C1NC(=O)N=C2NNC=C12,0.5000000
C12N(C(CC1CCC2)C(O)=O)C(C(NC(CCC3=CC=CC=C3)C(O)=O)C)=O,56.0000000
Clc1c(N)c(Cl)c(Cl)nc1C(O)=O,99.5000000
Clc1nc(nc(n1)N)NCC,54.1156006
Clc1nn(C)c(S(=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2)c1C(OC)=O,99.0538025
Clc1ccccc1Nc1nc(Cl)nc(Cl)n1,99.5000000
Clc1cc(OC(C(O)=O)C)ccc1,97.7614975
Clc1cc(NC(OC(C)C)=O)ccc1,99.5000000
Fc1cc2OCC(=O)N(c2cc1-n1c(O)c2c(C=CCC2)c1O)CC#C,97.1928024
O=C1NC(=NC1(C(C)C)C)c1ncc(cc1C(O)=O)C,45.3224983
S(=O)(=O)(C)c1cc([N+](=O)[O-])c(cc1)C(=O)C1C(=O)CCCC1=O,64.5245972
o1cc(cc1Cc1ccccc1)COC(=O)C1C(C)(C)C1\C=C(\C)/C,99.5000000
Clc1ccc(cc1)/C(=C/C(=O)N1CCOCC1)/c1cc(OC)c(OC)cc1,90.5724030
Clc1ncc(cc1)CN/1CCS\C\1=N/C#N,71.4302979
Clc1cc(Cl)ccc1C(Cn1ncnc1)COC(F)(F)C(F)F,97.5161972
O=C(N(NC(=O)c1ccc(cc1)CC)C(C)(C)C)c1cc(cc(c1)C)C,96.6214981
Clc1cc(Cl)ccc1NC(=O)C1(CC1)C(O)=O,1.5985000
S(CC)C(=O)N(CC)C1CCCCC1,99.5000000
Oc1n(CC(CCCC)CC)c(O)c2c1C1CC2C=C1,99.5000000
O(C(C)C)c1ccccc1OC(=O)NC,78.4050980
O=C1N=C(NC1(C(C)C)C)c1ncc(cc1C(O)=O)COC,54.5176010
Clc1ccc(cc1)CCC(C#N)(Cn1ncnc1)c1ccccc1,99.5000000
ClC12C3C(COS(OC3)=O)C(Cl)(C1(Cl)Cl)C(Cl)=C2Cl,99.5000000
Clc1ccc(cc1)C(O)(C(Cl)(Cl)Cl)c1ccc(Cl)cc1,99.5000000
S(C(\C=N\OC(=O)NC)(C)C)C,51.9082985
Clc1cc(NC(=O)NC(=O)c2c(F)cccc2F)ccc1OC(F)(F)C(F)OC(F)(F)F,99.5000000
S1CCN=C1c1c(CC(C)C)c(C(OC)=O)c(nc1C(F)(F)F)C(F)F,98.8949966
O(C(=O)c1ccccc1C(OCC(CCCC)CC)=O)CC(CCCC)CC,6.7145000
O1C(COC12CCC(CC2)C(C)(C)C)CN(CCC)CC,99.4553986
Clc1c(n(nc1CC)C)C(=O)NCc1ccc(cc1)C(C)(C)C,99.5000000
Clc1cc(Oc2ccc(Cl)cc2)ccc1C1(OC(CO1)C)Cn1ncnc1,99.5000000
Clc1cccc(Cl)c1C#N,93.7779999
O(C(CC)C)C(=O)N1CCCCC1CCO,71.5820007
Clc1cc(cc(Cl)c1-n1nc(C#N)c(S(=O)C(F)(F)F)c1N)C(F)(F)F,99.5000000
Clc1cc(Cc2ccccc2)c(O)cc1,99.5000000
Clc1cc(Cl)ccc1OC(C(O)=O)C,99.1471024
n1c(cc(nc1Nc1ccccc1)C)C1CC1,99.5000000
S(P(=S)(OC)OC)C(CC(OCC)=O)C(OCC)=O,99.5000000
S=P(Oc1cc(C)c([N+](=O)[O-])cc1)(OC)OC,99.5000000
Clc1nc(nc(n1)NCC)NCC,71.5501022
N(c1ccccc1)c1ccccc1,99.5000000
Clc1cc(Cl)c(NS(=O)(=O)C)cc1N1N=C(N(C(F)F)C1=O)C,0.6696000
